written 0 rows (0 ms)
written 4112000 rows  (989 ms)
written 4120000 rows  (1004 ms)
written 4128000 rows  (1399 ms)
written 4136000 rows  (998 ms)
written 4144000 rows  (1012 ms)
written 4152000 rows  (1032 ms)
written 4160000 rows  (1195 ms)
written 4168000 rows  (1000 ms)
written 4176000 rows  (997 ms)
written 4184000 rows  (1004 ms)
written 4192000 rows  (1240 ms)
written 4200000 rows  (1298 ms)
written 4208000 rows  (1010 ms)
written 4216000 rows  (1126 ms)
written 4224000 rows  (1025 ms)
written 4232000 rows  (1005 ms)
written 4240000 rows  (986 ms)
written 4248000 rows  (982 ms)
written 4256000 rows  (1240 ms)
written 4264000 rows  (1230 ms)
written 4272000 rows  (1160 ms)
written 4280000 rows  (1327 ms)
written 4288000 rows  (1715 ms)
written 4296000 rows  (1922 ms)
written 4304000 rows  (1564 ms)
written 4312000 rows  (1231 ms)
written 4320000 rows  (1228 ms)
written 4328000 rows  (1104 ms)
written 4336000 rows  (1124 ms)
written 4344000 rows  (1060 ms)
written 4352000 rows  (1108 ms)
written 4360000 rows  (1000 ms)
written 4368000 rows  (1000 ms)
written 4376000 rows  (1006 ms)
written 4384000 rows  (1377 ms)
written 4392000 rows  (1380 ms)
written 4400000 rows  (1150 ms)
written 4408000 rows  (1226 ms)
written 4416000 rows  (1284 ms)
written 4424000 rows  (1110 ms)
written 4432000 rows  (985 ms)
written 4440000 rows  (1182 ms)
written 4448000 rows  (1310 ms)
written 4456000 rows  (987 ms)
written 4464000 rows  (1034 ms)
written 4472000 rows  (1894 ms)
written 4480000 rows  (992 ms)
written 4488000 rows  (1490 ms)
written 4496000 rows  (1267 ms)
written 4504000 rows  (1002 ms)
written 4512000 rows  (1621 ms)
written 4520000 rows  (1000 ms)
written 4528000 rows  (1190 ms)
written 4536000 rows  (1074 ms)
written 4544000 rows  (983 ms)
written 4552000 rows  (1308 ms)
written 4560000 rows  (989 ms)
written 4568000 rows  (1070 ms)
written 4576000 rows  (1239 ms)
written 4584000 rows  (1041 ms)
written 4592000 rows  (1060 ms)
written 4600000 rows  (981 ms)
written 4608000 rows  (982 ms)
written 4616000 rows  (1037 ms)
written 4624000 rows  (1244 ms)
written 4632000 rows  (988 ms)
written 4640000 rows  (1243 ms)
written 4648000 rows  (985 ms)
written 4656000 rows  (1065 ms)
written 4664000 rows  (1013 ms)
written 4672000 rows  (1066 ms)
written 4680000 rows  (1136 ms)
written 4688000 rows  (999 ms)
